idLog,idPersona,zona1,zona2,zona3,zona4
1,1,0,0,0,0.02
2,2,0,0,0.02,0
3,3,0,0,0.02,0
4,1,0,0,0,0.03
5,2,0,0,0.03,0
6,3,0,0,0.03,0
7,1,0,0,0,0.05
8,2,0,0,0.05,0
9,3,0,0,0.05,0
10,1,0,0,0,0.07
11,2,0,0,0.07,0
12,3,0,0,0.07,0
13,1,0,0,0,0.08
14,2,0,0,0.08,0
15,3,0,0,0.08,0
16,1,0,0,0,0.1
17,2,0,0,0.1,0
18,3,0,0,0.1,0
19,1,0,0,0,0.12
20,2,0,0,0.12,0
21,3,0,0,0.12,0
22,1,0,0,0,0.13
23,2,0,0,0.13,0
24,3,0,0,0.13,0
25,1,0,0,0,0.15
26,2,0,0,0.15,0
27,3,0,0,0.15,0
28,1,0,0,0,0.17
29,2,0,0,0.17,0
30,3,0,0,0.17,0
31,1,0,0,0,0.18
32,2,0,0,0.18,0
33,3,0,0,0.18,0
34,1,0,0,0,0.2
35,2,0,0,0.2,0
36,3,0,0,0.2,0
37,1,0,0,0,0.22
38,2,0,0,0.22,0
39,3,0,0,0.22,0
40,1,0,0,0,0.23
41,2,0,0,0.23,0
42,3,0,0,0.23,0
43,1,0,0,0,0.25
44,2,0,0,0.25,0
45,3,0,0,0.25,0
46,1,0,0,0,0.27
47,2,0,0,0.27,0
48,3,0,0,0.27,0
49,1,0,0,0,0.28
50,2,0,0,0.28,0
51,3,0,0,0.28,0
52,1,0,0,0,0.3
53,2,0,0,0.3,0
54,3,0,0,0.3,0
55,1,0,0,0,0.32
56,2,0,0,0.32,0
57,3,0,0,0.32,0
58,1,0,0,0,0.33
59,2,0,0,0.33,0
60,3,0,0,0.33,0
61,1,0,0,0,0.35
62,2,0,0,0.35,0
63,3,0,0,0.35,0
64,1,0,0,0,0.37
65,2,0,0,0.37,0
66,3,0,0,0.37,0
67,1,0,0,0,0.38
68,2,0,0,0.38,0
69,3,0,0,0.38,0
70,1,0,0,0,0.4
71,2,0,0,0.4,0
72,3,0,0,0.4,0
73,1,0,0,0,0.42
